crater,diam,lat,lon,approval_date,nombre,origin
Hypatia,38.82,-4.25,22.58,1935,Hipatia de Alejandría,Hypatia of Alexandria; Egyptian mathematician and philosopher (c. 370-415).
Catharina,98.77,-17.98,23.55,1935,Catalina de Alejandría,"St. Catherine of Alexandria; Greek theologian, philosopher (unkn-c. 307)."
Lepaute,16.36,-33.3,-33.69,1935,Nicole-Reine de la Brière Lepaute,Nicole Reine De La Briere; French astronomer (1723-1788).
C. Herschel,13.7,34.48,-31.29,1935,​​​​​​​Caroline Lucrecia Herschel,Caroline Lucretia; British astronomer (1750-1848).
Somerville,17.08,-8.33,64.96,1976,​​​​​​​Mary Fairfax Greig Somerville,"Mary Fairfax; Scottish physicist, mathematician (1780-1872)."
Sheepshanks,23.67,59.24,17.04,1935,​​​​​​​Anne Sheepshanks,Anne; British benefactor (1789-1876).
Bruce,6.14,1.16,0.37,1935,​​​​​​​Catherine Wolfe Bruce,"Catherine Wolfe; American philanthropist, astronomy patron (1816-1900)."
Mitchell,32.15,49.77,20.17,1935,​​​​​​​Maria Mitchell,Maria; American astronomer (1818-1889).
Clerke,6.66,21.68,29.8,1973,​​​​​​​Agnes Mary Clerke,Agnes Mary; British astronomer (1842-1907).
Kovalevskaya,113.71,30.86,-129.44,1970,​​​​​​​Sofía Vasílievna Kovalevskaya,Sofya Vasilyevna; Russian mathematician (1850-1891).
Maunder,53.8,-14.52,-93.88,1970,​​​​​​​Annie Scott Dill Russell Maunder,Annie Scott Dill Russell; British astronomer (1868-1947); Edward Walter; British astronomer (1851-1928).
Fleming,126.37,14.91,109.28,1970,​​​​​​​Williamina Paton Stevens Fleming,"Alexander; British doctor, Nobel laureate (1881-1955); Williamina Paton; Scottish-born American astronomer (1857-1911)."
Cannon,57.58,19.88,81.36,1964,​​​​​​​Annie Jump Cannon,Annie Jump; American astronomer (1863-1941).
Maury,16.58,37.11,39.69,1935,​​​​​​​Antonia Coetana de Paiva Pereira Maury,Matthew Fontaine; American oceanographer (1806-1873); Antonia Caetana de Paiva Pereira; American astronomer (1866-1952).
Leavitt,69.31,-44.86,-139.89,1970,​​​​​​​Henrietta Swan Leavitt,Henrietta Swan; American astronomer (1868-1921).
Blagg,4.97,1.22,1.46,1935,​​​​​​​Mary Adela Blagg,Mary Adela; British astronomer (1858-1944).
Proctor,47.64,-46.43,-5.04,1935,​​​​​​​Mary A. Proctor,Mary; American astronomer (1862-1957).
Sklodowska,125.55,-18.04,96.15,1961,​​​​​​​Marie Sklodowska Curie,"Marie (Madame Curie); Polish physicist, chemist, Nobel laureate (1867-1934)."
Meitner,87.27,-10.87,113.1,1970,​​​​​​​Lise Meitner,Lise; Austrian physicist (1878-1968).
Nöther (Noether),64.8,66.35,-114.18,1970,​​​​​​​Amalie Emmy Noether,Emmy; German mathematician (1882-1935).
Jenkins,37.77,0.37,78.04,1982,​​​​​​​Louise Freeland Jenkins,Louise Freeland; American astronomer (1888-1970).
Bok,43.03,-20.26,-171.58,1979,​​​​​​​Priscilla Fairfield Bok,"Priscilla Fairfield; American astronomer (1896-1975), Bart Jan; Dutch-American astronomer (1906-1983)."
Cori,67.22,-50.48,-152.91,1979,​​​​​​​Gerty Teresa Radnitz Cori,Gerty Theresa Radnitz; Czech-American physiologist; Nobel laureate (1896-1957).
Resnik,22.16,-34.15,-150.84,1988,​​​​​​​Judith Arlene Resnik,Judith Arlene; member of the Challenger crew (1949-1986).
McAuliffe,19.11,-33.24,-149.77,1988,​​​​​​​Sharon Christa McAuliffe,Sharon Christa Corrigan; civilian school teacher member of the Challenger crew (1948-1986).
Chawla,14.25,-42.48,-147.49,2006,​​​​​​​Kalpana Chawla,"Kalpana; American astronaut, Space Shuttle Columbia Mission Specialist (1961-2003)."
